review,rating,source,date
OTP takes too long to arrive,1,Play Store,2026-06-01
App crashes during payment,1,Play Store,2026-06-02
Love the new interface,5,App Store,2026-06-02
Please add dark mode,4,Survey,2026-06-03
Checkout process is very slow,2,Play Store,2026-06-04
Biometric login would be useful,4,Support Ticket,2026-06-05
OTP never arrives,1,Play Store,2026-06-06
Payment failed after checkout,2,Support Ticket,2026-06-07
Need fingerprint login,5,Survey,2026-06-08
Dark theme would be amazing,5,App Store,2026-06-09